imcraRegion,yearStart,yearEnd,griisStatus,recordCount,speciesCount
Central Victoria,1976,1980,Native,15752,1174
Central Victoria,1981,1985,Introduced,46,25
Central Victoria,1981,1985,Invasive,7,3
Central Victoria,1981,1985,Native,6703,963
Central Victoria,1986,1990,Introduced,23,17
Central Victoria,1986,1990,Invasive,3,2
Central Victoria,1986,1990,Native,7445,652
Central Victoria,1991,1995,Introduced,43,14
Central Victoria,1991,1995,Invasive,6,2
Central Victoria,1991,1995,Native,10367,381
Central Victoria,1996,2000,Introduced,29,19
Central Victoria,1996,2000,Invasive,1,1
Central Victoria,1996,2000,Native,18529,945
Central Victoria,2001,2005,Introduced,16,7
Central Victoria,2001,2005,Invasive,9,2
Central Victoria,2001,2005,Native,32176,678
Central Victoria,2006,2010,Introduced,11,6
Central Victoria,2006,2010,Native,8142,609
Central Victoria,2011,2015,Introduced,3,3
Central Victoria,2011,2015,Invasive,1,1
Central Victoria,2011,2015,Native,10859,658
Central Victoria,2016,2020,Introduced,20,14
Central Victoria,2016,2020,Invasive,2,2
Central Victoria,2016,2020,Native,18930,866
Central West Coast,1900,1970,Introduced,28,14
Central West Coast,1900,1970,Native,2605,1259
Central West Coast,1971,1975,Introduced,5,4
Central West Coast,1971,1975,Native,1351,658
Central West Coast,1976,1980,Introduced,16,11
Central West Coast,1976,1980,Invasive,1,1
Central West Coast,1976,1980,Native,5370,806
Central West Coast,1981,1985,Introduced,66,31
Central West Coast,1981,1985,Invasive,2,2
Central West Coast,1981,1985,Native,2181,861
Central West Coast,1986,1990,Introduced,37,26
Central West Coast,1986,1990,Invasive,4,3
Central West Coast,1986,1990,Native,983,498
Central West Coast,1991,1995,Introduced,11,8
Central West Coast,1991,1995,Native,632,292
Central West Coast,1996,2000,Introduced,12,8
Central West Coast,1996,2000,Native,2598,542
Central West Coast,2001,2005,Introduced,7,4
Central West Coast,2001,2005,Invasive,1,1
Central West Coast,2001,2005,Native,9340,885
Central West Coast,2006,2010,Introduced,2,2
Central West Coast,2006,2010,Native,6892,727
Central West Coast,2011,2015,Native,1681,275
Central West Coast,2016,2020,Introduced,7,4
Central West Coast,2016,2020,Native,4007,551
Cobourg,1900,1970,Invasive,1,1
Cobourg,1900,1970,Native,2305,646
Cobourg,1971,1975,Native,260,181
Cobourg,1976,1980,Invasive,2,1
Cobourg,1976,1980,Native,1252,600
Cobourg,1981,1985,Introduced,2,2
Cobourg,1981,1985,Native,4605,1441
Cobourg,1986,1990,Introduced,16,5
Cobourg,1986,1990,Native,1766,829
Cobourg,1991,1995,Introduced,28,13
Cobourg,1991,1995,Invasive,2,1
Cobourg,1991,1995,Native,1887,476
Cobourg,1996,2000,Introduced,1,1
Cobourg,1996,2000,Invasive,6,1
Cobourg,1996,2000,Native,2053,384
Cobourg,2001,2005,Introduced,30,10
Cobourg,2001,2005,Invasive,2,1
Cobourg,2001,2005,Native,631,320
Cobourg,2006,2010,Introduced,1,1
Cobourg,2006,2010,Native,1148,250
Cobourg,2011,2015,Introduced,18,12
Cobourg,2011,2015,Invasive,7,3
Cobourg,2011,2015,Native,1107,251
Cobourg,2016,2020,Native,293,116
Coorong,1900,1970,Introduced,88,50
Coorong,1900,1970,Invasive,2,1
Coorong,1900,1970,Native,3372,1215
Coorong,1971,1975,Introduced,15,11
Coorong,1971,1975,Invasive,1,1
Coorong,1971,1975,Native,6252,438
Coorong,1976,1980,Introduced,11,7
Coorong,1976,1980,Invasive,1,1
Coorong,1976,1980,Native,2002,428
Coorong,1981,1985,Introduced,35,26
Coorong,1981,1985,Invasive,1,1
Coorong,1981,1985,Native,2540,496
Coorong,1986,1990,Introduced,30,23
Coorong,1986,1990,Invasive,3,2
Coorong,1986,1990,Native,3764,337
Coorong,1991,1995,Introduced,6,5
Coorong,1991,1995,Invasive,1,1
Coorong,1991,1995,Native,3810,252
Coorong,1996,2000,Introduced,5,5
Coorong,1996,2000,Native,2083,363
Coorong,2001,2005,Introduced,1,1
Coorong,2001,2005,Native,2556,367
Coorong,2006,2010,Introduced,2,2
Coorong,2006,2010,Native,2320,348
Coorong,2011,2015,Introduced,1,1
Coorong,2011,2015,Invasive,4,2
Coorong,2011,2015,Native,3254,363
Coorong,2016,2020,Introduced,6,4
Coorong,2016,2020,Native,2922,418
Davey,1900,1970,Introduced,6,5
Davey,1900,1970,Native,1006,502
Davey,1971,1975,Introduced,1,1
Davey,1971,1975,Native,348,199
Davey,1976,1980,Introduced,18,10
Davey,1976,1980,Native,895,308
Davey,1981,1985,Introduced,6,3
Davey,1981,1985,Native,1033,338
Davey,1986,1990,Introduced,3,2
Davey,1986,1990,Native,671,274
Davey,1991,1995,Introduced,11,10
