ibraRegion,yearStart,yearEnd,griisStatus,recordCount,speciesCount
Brigalow Belt South,1971,1975,Invasive,37,8
Brigalow Belt South,1971,1975,Native,16231,3229
Brigalow Belt South,1976,1980,Introduced,188,105
Brigalow Belt South,1976,1980,Invasive,61,15
Brigalow Belt South,1976,1980,Native,59813,3386
Brigalow Belt South,1981,1985,Introduced,187,92
Brigalow Belt South,1981,1985,Invasive,58,15
Brigalow Belt South,1981,1985,Native,23517,3298
Brigalow Belt South,1986,1990,Introduced,463,118
Brigalow Belt South,1986,1990,Invasive,72,8
Brigalow Belt South,1986,1990,Native,34640,3444
Brigalow Belt South,1991,1995,Introduced,942,149
Brigalow Belt South,1991,1995,Invasive,102,14
Brigalow Belt South,1991,1995,Native,43842,3801
Brigalow Belt South,1996,2000,Introduced,3851,213
Brigalow Belt South,1996,2000,Invasive,2028,19
Brigalow Belt South,1996,2000,Native,170793,4654
Brigalow Belt South,2001,2005,Introduced,6409,292
Brigalow Belt South,2001,2005,Invasive,3531,26
Brigalow Belt South,2001,2005,Native,224654,4205
Brigalow Belt South,2006,2010,Introduced,5261,224
Brigalow Belt South,2006,2010,Invasive,2392,23
Brigalow Belt South,2006,2010,Native,192517,4041
Brigalow Belt South,2011,2015,Introduced,2819,213
Brigalow Belt South,2011,2015,Invasive,1865,22
Brigalow Belt South,2011,2015,Native,199476,4167
Brigalow Belt South,2016,2020,Introduced,7324,269
Brigalow Belt South,2016,2020,Invasive,9556,24
Brigalow Belt South,2016,2020,Native,482127,4033
Broken Hill Complex,1900,1970,Introduced,398,73
Broken Hill Complex,1900,1970,Invasive,43,3
Broken Hill Complex,1900,1970,Native,11778,1488
Broken Hill Complex,1971,1975,Introduced,191,55
Broken Hill Complex,1971,1975,Invasive,16,3
Broken Hill Complex,1971,1975,Native,5796,1035
Broken Hill Complex,1976,1980,Introduced,70,35
Broken Hill Complex,1976,1980,Invasive,9,3
Broken Hill Complex,1976,1980,Native,7404,864
Broken Hill Complex,1981,1985,Introduced,18,11
Broken Hill Complex,1981,1985,Invasive,41,7
Broken Hill Complex,1981,1985,Native,3415,589
Broken Hill Complex,1986,1990,Introduced,143,46
Broken Hill Complex,1986,1990,Invasive,58,5
Broken Hill Complex,1986,1990,Native,10895,853
Broken Hill Complex,1991,1995,Introduced,288,51
Broken Hill Complex,1991,1995,Invasive,53,5
Broken Hill Complex,1991,1995,Native,10688,832
Broken Hill Complex,1996,2000,Introduced,82,28
Broken Hill Complex,1996,2000,Invasive,161,5
Broken Hill Complex,1996,2000,Native,10460,690
Broken Hill Complex,2001,2005,Introduced,477,26
Broken Hill Complex,2001,2005,Invasive,409,4
Broken Hill Complex,2001,2005,Native,18076,747
Broken Hill Complex,2006,2010,Introduced,464,44
Broken Hill Complex,2006,2010,Invasive,427,6
Broken Hill Complex,2006,2010,Native,17198,810
Broken Hill Complex,2011,2015,Introduced,46,22
Broken Hill Complex,2011,2015,Invasive,561,8
Broken Hill Complex,2011,2015,Native,14155,668
Broken Hill Complex,2016,2020,Introduced,793,28
Broken Hill Complex,2016,2020,Invasive,842,4
Broken Hill Complex,2016,2020,Native,20422,614
Burt Plain,1900,1970,Introduced,101,27
Burt Plain,1900,1970,Invasive,71,3
Burt Plain,1900,1970,Native,13403,1347
Burt Plain,1971,1975,Introduced,31,14
Burt Plain,1971,1975,Invasive,3,1
Burt Plain,1971,1975,Native,3145,937
Burt Plain,1976,1980,Introduced,48,21
Burt Plain,1976,1980,Invasive,5,2
Burt Plain,1976,1980,Native,5450,726
Burt Plain,1981,1985,Introduced,5,3
Burt Plain,1981,1985,Invasive,33,3
Burt Plain,1981,1985,Native,4816,735
Burt Plain,1986,1990,Introduced,5,4
Burt Plain,1986,1990,Invasive,66,3
Burt Plain,1986,1990,Native,5877,703
Burt Plain,1991,1995,Introduced,5,5
Burt Plain,1991,1995,Invasive,43,5
Burt Plain,1991,1995,Native,4007,545
Burt Plain,1996,2000,Introduced,8,8
Burt Plain,1996,2000,Invasive,13,4
Burt Plain,1996,2000,Native,7176,792
